"","depth","shrinkage","iterations","OOB.MSE"
"1",2,0.001,100,0.00305473937831436
"2",3,0.001,100,0.00305719588716081
"3",4,0.001,100,0.00305956765205047
"4",5,0.001,100,0.00306064817039544
"5",6,0.001,100,0.00306295960071448
"6",2,0.01,100,0.00869124751212033
"7",3,0.01,100,0.00868594856736494
"8",4,0.01,100,0.00868909653902569
"9",5,0.01,100,0.00868499492392461
"10",6,0.01,100,0.00868039816108988
"11",2,0.1,100,0.00999513512043338
"12",3,0.1,100,0.00999963978943027
"13",4,0.1,100,0.00999666202109269
"14",5,0.1,100,0.00999334663255992
"15",6,0.1,100,0.0100060073069194
"16",2,0.2,100,0.00998021711919987
"17",3,0.2,100,0.00999128993771809
"18",4,0.2,100,0.0099780069228461
"19",5,0.2,100,0.0100025403409808
"20",6,0.2,100,0.00999216609415146
"21",2,0.5,100,0.00998424959906959
"22",3,0.5,100,0.0100013960476961
"23",4,0.5,100,0.0100045879576766
"24",5,0.5,100,0.00998987836362798
"25",6,0.5,100,0.0100034289193432
"26",2,0.001,200,0.00242324846023144
"27",3,0.001,200,0.00242366688062059
"28",4,0.001,200,0.00242436468682397
"29",5,0.001,200,0.00242483499757953
"30",6,0.001,200,0.0024251806263477
"31",2,0.01,200,0.00478261428237337
"32",3,0.01,200,0.00477989661288584
"33",4,0.01,200,0.00477820730847949
"34",5,0.01,200,0.00477909867508192
"35",6,0.01,200,0.00477835397834972
"36",2,0.1,200,0.00499882404460076
"37",3,0.1,200,0.00499407123151098
"38",4,0.1,200,0.00500158650007072
"39",5,0.1,200,0.00499019827774239
"40",6,0.1,200,0.00499580976264166
"41",2,0.2,200,0.00500389860194786
"42",3,0.2,200,0.0050033270009702
"43",4,0.2,200,0.00500004869120188
"44",5,0.2,200,0.00500296791064643
"45",6,0.2,200,0.00499633339078806
"46",2,0.5,200,0.00500650404706157
"47",3,0.5,200,0.00500170893148925
"48",4,0.5,200,0.00500123524643581
"49",5,0.5,200,0.00499627460457355
"50",6,0.5,200,0.00499869597441951
"51",2,0.001,300,0.0019951384681011
"52",3,0.001,300,0.00199475522475432
"53",4,0.001,300,0.00199471451874659
"54",5,0.001,300,0.00199431620150704
"55",6,0.001,300,0.00199434866440869
"56",2,0.01,300,0.00328160239370026
"57",3,0.01,300,0.00328013587527674
"58",4,0.01,300,0.00328013740134913
"59",5,0.01,300,0.00327952555403902
"60",6,0.01,300,0.00327857804980702
"61",2,0.1,300,0.00333689553319284
"62",3,0.1,300,0.00333056893242452
"63",4,0.1,300,0.00333159915784258
"64",5,0.1,300,0.00332843549820002
"65",6,0.1,300,0.0033332101379374
"66",2,0.2,300,0.00332959082636556
"67",3,0.2,300,0.00333359985458179
"68",4,0.2,300,0.00332959909741567
"69",5,0.2,300,0.00333156057246742
"70",6,0.2,300,0.00333257994018213
"71",2,0.5,300,0.00333549396762687
"72",3,0.5,300,0.00333468542131362
"73",4,0.5,300,0.00333109354253731
"74",5,0.5,300,0.00333528610442574
"75",6,0.5,300,0.00333447175674153
"76",2,0.001,400,0.00168960668586369
"77",3,0.001,400,0.0016890810920968
"78",4,0.001,400,0.00168846453972908
"79",5,0.001,400,0.00168818898045559
"80",6,0.001,400,0.0016879204533019
"81",2,0.01,400,0.0024851949671003
"82",3,0.01,400,0.00248479634880453
"83",4,0.01,400,0.00248457638876472
"84",5,0.01,400,0.00248386154347634
"85",6,0.01,400,0.00248602516379165
"86",2,0.1,400,0.00250057919355388
"87",3,0.1,400,0.00249927493109951
"88",4,0.1,400,0.00250182466524457
"89",5,0.1,400,0.00249813407998105
"90",6,0.1,400,0.00250100577755964
"91",2,0.2,400,0.00249810338533269
"92",3,0.2,400,0.00250176187306446
"93",4,0.2,400,0.00250047434845895
"94",5,0.2,400,0.00249934863772131
"95",6,0.2,400,0.00250288468299479
"96",2,0.5,400,0.00249994676827562
"97",3,0.5,400,0.00249864615818587
"98",4,0.5,400,0.0025039208293166
"99",5,0.5,400,0.0025031941053006
"100",6,0.5,400,0.0025041911150698
"101",2,0.001,500,0.00146191963095657
"102",3,0.001,500,0.00146161056666006
"103",4,0.001,500,0.00146110423049212
